Name;IATA;ICAO;Callsign;Country
RusJet;;RSJ;;Russia
Rusline;;RLU;RUSLINE AIR;Russia
Russia State Transport;;RSD;STATE AERO;Russia
Russian Aircraft Corporation-MiG;;MIG;MIG AVIA;Russia
Russian Federation Air Force;;RFF;RUSSIAN AIRFORCE;Russia
Russian Sky Airlines;P7;ESL;RADUGA;Russia
Russkie Krylya;;KRY;;Russia
Rusuertol;;RUZ;ROSTUERTOL;Russia
Rutas Aereas;;RUC;RUTACA;Venezuela
Rutland Aviation;;RND;RUTLAND;United Kingdom
Rwanda Airlines;;RUA;;Rwanda
Rwanda Airways;;RWA;;Rwanda
Rwandair Express;WB;RWD;RWANDAIR;Rwanda
RWL Luftfahrtgesellschaft;;RWL;RHEINTRAINER;Germany
Ryan Air Service;;RCT;ARCTIC TRANPORT;United States
Ryan Air Services;;RYA;RYAN AIR;United States
Ryan International Airlines;RD;RYN;RYAN INTERNATIONAL;United States
Ryanair;FR;RYR;RYANAIR;Ireland
Ryazan State Air Enterprise;;RYZ;RYAZAN AIR;Russia
Rynes Aviation;;RAA;RYNES AVIATION;United States
S C Ion Tiriac;;TIH;TIRIAC AIR;Romania
S.K. Logistics;;SFX;SWAMP FOX;United States
S.P. Aviation;;GDG;GOLDEN GATE;United States
S7 Airlines;S7;SBI;SIBERIAN AIRLINES;Russia
SA Airlink Regional;;REJ;REGIONAL LINK;South Africa
SAAB Nyge Aero;;TGT;TARGET;Sweden
SAAB-Aircraft;;SCT;SAAB-CRAFT;Sweden
SAAD (A320) Limited;;MMS;MUSAAD AIR;Cayman Islands
Sabah Air;;SAX;SABAH AIR;Malaysia
Sabang Merauke Raya Air Charter;;SMC;SAMER;Indonesia
Saber Airlines;;SIS;;Egypt
Saber Aviation;;SBR;FREIGHTER;United States
Sabre;1S;;;United States
Sabre Incorporated;;SBG;;United States
Sabre Pacific;;APD;;Australia
Sabre Pacific;1Z;;;Australia
SADELCA - Sociedad Aerea Del Caqueta;;SDK;SADELCA;Colombia
SAESA;;SSS;SAESA;Spain
SAETA;EH;SET;SAETA;Ecuador
Safair;FA;SFR;CARGO;South Africa
Safari Express Cargo;;SXY;SAFARI EXPRESS;Kenya
Safarilink Aviation;;XLK;SAFARILINK;Kenya
Safat Airlines;;IRV;SAFAT AIR;Iran
Safe Air;;SFP;SAFE AIR;Pakistan
Safewings Aviation Company;;SFF;SWIFTWING;United States
Safi Airlines;4Q;\N;;Afghanistan
Safiran Airlines;;SFN;SAFIRAN;Iran
Saga Airlines;;SGX;;Turkey
Sagolair Transportes Ejecutivos;;SGP;SAGOLAIR;Spain
Saha Airlines Services;;IRZ;SAHA;Iran
Sahara Airlines;;SHD;;Algeria
Sahel Airlines;;AWJ;SAHEL AIRLINES;Niger
Sahel Aviation Service;;SAO;SAVSER;Mali
Saint Barth Commuter;;SBU;BLACK FIN;France
S-Air;;RLS;S-AIRLINES;Russia
Sair Aviation;;SRA;SAIR;Canada
Sakaviaservice;;AZG;SAKSERVICE;Georgia
Sakhalinskie Aviatrassy (SAT);;SHU;SATAIR;Russia
Salair;;SIR;SALAIR;United States
Salama Airlines Nigeria;;SLW;SALMA AIR;Nigeria
Salem;;KKS;KOKSHE;Kazakhstan
Salmon Air;S6;\N;;United States
Salpa Aviation;;SLP;SALPA;Sudan
Salsa d\\'Haiti;SO;SLC;SALSA;Haiti
Salzburg arrows;SZ;\N;SZA;Austria
SAM Colombia;;SAM;SAM;Colombia
Sama Airlines;ZS;SMY;NAJIM;Saudi Arabia
Samal Air;;SAV;;Kazakhstan
Samar Air;;SMQ;SAMAR AIR;Tajikistan
Samara Airlines;E5;BRZ;BERYOZA;Russia
Samaritan Air Service;;HLO;HALO;Canada
Samarkand Airways;;UZS;SOGDIANA;Uzbekistan
Samgau;;SGU;RAUSHAN;Kazakhstan
Samson Aviation;;SHL;SAMSON;United Kingdom
Samurai Airlines;7;770;Sam;Pakistan
San Dima Air;;SDI;FAREFLIGHT;United States
San Juan Airlines;2G;MRR;MARINER;United States
SANSA;;LRS;;Costa Rica
Santa Barbara Airlines;S3;BBR;SANTA BARBARA;Venezuela
Sapphire Aviation;;SPP;SAPPHIRE;United States
Sapphire Executive Air;;SPH;SAPPHIRE-CHARTER;South Africa
Saratov Aviation Division;6W;SOV;SARATOV AIR;Russia
Sarit Airlines;;SRW;SARIA;Sudan
Sark International Airways;;JIM;SARK;United Kingdom
SAS Braathens;;CNO;SCANOR;Norway
Sasair;;SSB;SASIR;Canada
SASCA;;SSU;SASCA;Venezuela
SASCO Airlines;;SAC;SASCO;Sudan
Saskatchewan Government;;SLG;LIFEGUARD;Canada
Saskatchewan Government Executive Air Service;;SGS;SASKATCHEWAN;Canada
Sat Airlines;HZ;SOZ;SATCO;Kazakhstan
SATA Air Acores;SP;SAT;SATA;Portugal
SATA International;S4;RZO;AIR AZORES;Portugal
Satellite Aero;;SXX;SATELLITE EXPRESS;United States
SATENA;9R;NSE;SATENA;Colombia
Satsair;;SYK;AEROCAB;United States
Saudi Arabian Airlines;SV;SVA;SAUDIA;Saudi Arabia
Savanah Airlines;;SNI;SAVANAHLINE;Nigeria
Savanair (Angola);;SVN;SAVANAIR;Angola
Sayakhat Airlines;;SAH;SAYAKHAT;Kazakhstan
Scandinavian Airlines System;SK;SAS;SCANDINAVIAN;Sweden
Scat Air;DV;VSV;VLASTA;Kazakhstan
Scenic Air;;ENR;;Namibia
Scenic Airlines;;SCE;SCENIC;United States
Scibe Airlift;;SBZ;SCIBE AIRLIFT;Democratic Republic of the Congo
Scoala Superioara De Aviatie Civila;;RFT;ROMANIAN ACADEMY;Romania
Scoot;TZ;SCO;;Singapore
Scorpio;;SCP;SCORPIO;Egypt
Scorpio Aviation;8S;;;
ScotAirways;;SAY;SUCKLING;United Kingdom
Scottish Airways Flyers;;SKO;SKYWORK;United Kingdom
Seaborne Airlines;BB;SBS;SEABORNE;United States
Seacoast Airlines;;SCC;SEA-COASTER;United States
Seagle Air;;CGL;SEAGLE;Slovakia
SeaPort Airlines;K5;SQH;SASQUATCH;United States
Searca;;SRC;SEARCA;Colombia
Search and Rescue 202;;SRG;;United Kingdom
Search and Rescue 22;;SRD;;United Kingdom
Seba Airlines;;GIK;SEBA;Guinea
Seco International;;SIJ;;Japan
Second Sverdlovsk Air Enterprise;;UKU;PYSHMA;Russia
Secretaria de Marina;;ANX;SECRETARIA DEMARINA;Mexico
Sector Airlines;;XTR;EXTER;Canada
Secure Air Charter;;JCM;SECUREAIR;United States
Security Aviation;;SVX;SECURITY AIR;United States
Sedalia;;STG; Marshall; Boonville Stage Line
Sedona Air Center;;SED;SEDONA AIR;United States
SEFA;;SFA;SEFA;France
Sefofane Air Charters;;SFE;SEFOFANE;South Africa
Selcon Airlines;;SEO;SELCON AIR;Nigeria
Selkirk Remote Sensing;;SRS;PHOTO CHARLIE;Canada
Sella Aviation;;STJ;STELLAVIA;Netherlands
Semeyavia;;SMK;ERTIS;Kazakhstan
Semitool Europe;;STE;SEMITRANS;United Kingdom
Semos;;SME;SEMICH;Kazakhstan
Senair Services;;SNH;SENSERVICE;Senegal
Senator Aviation Charter;;SNA;SENATOR;Germany
SENEAM;;XMX;SENEAM;Mexico
Senegal Airlines;DN;SGG;;Senegal
SENIC AIRLINES;YR;\N;;United States
Sentel Corporation;;SEL;SENTEL;United States
Seoul Air International;;SHI;SEOUL AIR;Republic of Korea
Serair Transworld Press;;SEV;CARGOPRESS;Spain
Serbian Airlines;S1;SA1;;Serbia
Servair;;SWZ; Private Charter;SWISSBIRD
Servant Air;8D;;;United States
Service Aerien Francais;;SHP;SAF;France
Service People Gesselschaft fur Charter und Service;;SPX;;Germany
Servicio Aereo Regional Regair;;RER;REGAIR;Ecuador
Servicio Aereo Saltillo;;SES;SERVISAL;Mexico
Servicio De Helicopteros;;SDH;ARCOS;Spain
Servicio De Viglancia Aerea Del Ministerio De Seguridad Publica;;MSP;SEGURIDAD;Costa Rica
Servicio Tecnico Aero De Mexico;;SDX;SERVICIO TECNICO;Mexico
Servicios Aerecs Del Sol;;AOS; S.A. de C.V.;AEROSOL
Servicios Aereos Agricolas;;SGI;SERAGRI;Chile
Servicios Aereos Avandaro;;VDO;AVANDARO;Mexico
Servicios Aereos Centrales;;CEE;CENTRA AEREOS;Mexico
Servicios Aereos Copters;;KOP;COPTERS;Chile
Servicios Aereos Corporativos;;TRN;AEROTRON;Mauritania
Servicios Aereos de Chihuahua Aerochisa;;AHI;AEROCHISA;Mexico
Servicios Aereos de Los Angeles;;AGE;AEROANGEL;Mexico
Servicios Aereos De Nicaragua (SANSA);;SNE;SANSA;Nicaragua
Servicios Aereos Del Centro;;SCV;SACSA;Mexico
Servicios Aereos del Nazas SA de CV;;NAZ;NAZAS;Mexico
Servicios Aereos Del Norte;;NTB;SERVINORTE;Mexico
Servicios Aereos Del Vaupes;;SDV;SELVA;Colombia
Servicios Aereos Denim;;DNI;AERO DENIM;Mexico
Servicios Aereos Ejecutivos De La Laguna;;LGU;LAGUNA;Mexico
Servicios Aereos Ejecutivos Saereo;;SRO;SAEREO;Ecuador
Servicios Aereos Elite;;DKY;DAKOY;Spain
Servicios Aereos Especiales De Jalisco;;SJA;SERVICIOJAL;Mexico
Servicios Aereos Estrella;;LLS;SERVIESTRELLA;Mexico
Servicios Aereos Expecializados En Transportes Petroleros;;KSP;SAEP;Colombia
Servicios Aereos Gadel;;GDE;GADEL;Mexico
Servicios Aereos Gana;;GNA;SERVIGANA;Mexico
Servicios Aereos Ilsa;;ILS;SERVICIOS ILSA;Mexico
Servicios Aereos Integrales / Flyant;;FYA;FLYANT;Spain
Servicios Aereos La Marquesa;;SMD;SERVICIOS MARQUESA;Mexico
Servicios Aereos Latinoamericanos;;NON;SERVICIOS LATINO;Mexico
Servicios Aereos Luce;;SEB;SERVILUCE;Mexico
Servicios Aereos Milenio;;MLO;MILENIO;Mexico
Servicios Aereos Monarrez;;NRZ;MONARREZ;Mexico
Servicios Aereos Moritani;;MRI;MORITANI;Mexico
Servicios Aereos MTT;;MTG;;Mexico
Servicios Aereos Nacionales (SAN);;SAN;AEREOS;Ecuador
Servicios Aereos Noticiosos;;OSS;NOTICIOSOS;Mexico
Servicios Aereos Palenque;;SPQ;SERVICOS PALENQUE;Mexico
Servicios Aereos Poblanos;;POB;POBLANOS;Mexico
Servicios Aereos Premier;;PMR;SERVICIOS PREMIER;Mexico
Servicios Aereos Profesionales;;PSV;PROSERVICIOS;Dominican Republic
Servicios Aereos Regiomontanos;;RGC;REGIOMONTANO;Mexico
Servicios Aereos Saar;;SVS;AEREOS SAAR;Mexico
Servicios Aereos San Cristobal;;SCI;SAN CRISTOBAL;Mexico
Servicios Aereos Sepecializados Mexicanos;;SXM;SERVIMEX;Mexico
Servicios Aereos Slainte;;SLS;SERVICIOS SLAINTE;Mexico
Servicios Aereos Sunset;;SSE;SUNSET;Mexico
Servicios Aereos Tamazula;;TZU;TAMAZULA;Mexico
Servicios Aereos Textra;;XTA;TEXTRA;Mexico
Servicios Aereos Tribasa;;TBS;TRIBASA;Mexico
Servicios Aereos Universitarios;;UNT;UNIVERSITARIO;Mexico
Servicios Aeronauticos Aero Personal;;SRL;SERVICIOS PERSONAL;Mexico
Servicios Aeronauticos De Oriente;;SVO;SERVIORIENTE;Mexico
Servicios Aeronauticos Integrales;;SIL;SERVICIOS INTEGRALES;Mexico
Servicios Aeronauticos Z;;SZT;AERO ZEE;Mexico
Servicios Corporativos Aereos De La Laguna;;SPL;CORPORATIVOS LAGUNA;Mexico
Servicios De Aerotransportacion De Aguascalientes;;STD;AERO AGUASCALINETES;Mexico
Servicios De Rampa Y Mostrador;;RMP;SERAMSA;Mexico
Servicios De Taxi Aereo;;SXT;SERTA;Mexico
Servicios De Transporte Aereo;;SVI;SETRA;Mexico
Servicios de Transportes A;FS;STU;FUEGUINO;Argentina
Servicios Ejecutivos Continental;;SJC;SERVIEJECUTIVO;Mexico
Servicios Ejecutivos Gosa;;HJE;GOSA;Mexico
Servicios Especiales Del Pacifico Jalisco;;SJL;SERVICIOS JALISCO;Mexico
Servicios Intergrales De Aviacion;;NTG;INTERGRALES;Mexico
Servicios Privados De Aviacion;;SPV;SERVICIOS PRIVADOS;Mexico
Servico Aereo Regional;;MSG;SAR-REGIONAL;Mozambique
Servico Leo Lopex;;LLA;LEO LOPOZ;Mexico
Servicos De Alquiler;;SQL;ALQUILER;Mexico
Servisair;;SGH;SERVISAIR;United Kingdom
Servizi Aerei;;SNM;SERVIZI AEREI;Italy
Sete Linhas Aereas;;SLX;SETE;Brazil
Seulawah Nad Air;;NAD;SEULAWAH;Indonesia
Sevastopol-Avia;;SVL;SEVAVIA;Ukraine
Seven Bar Flying Service;;SBF;S-BAR;United States
Seven Four Eight Air Services;;SVT;SIERRA SERVICES;Luxembourg
Sevenair;;SEN;SEVENAIR;Tunisia
Severstal;;SSF;SEVERSTAL;Russia
Severstal Air Company;D2;\N;;Russia
SFT-Sudanese Flight;;STF;;Sudan
SGA Airlines;5E;\N;SIAM;Thailand
Shabair;;SHB;SHABAIR;Democratic Republic of the Congo
Shaheen Air Cargo;;SEE;SHAHEEN CARGO;Pakistan
Shaheen Air International;NL;SAI;SHAHEEN AIR;Pakistan
Shaheen Airport Services;;SHN;SUGAR ALFA;Pakistan
Shalom Air Services;;FFH;PEACE AIR;Nigeria
Sham Wing Airlines;;SAW;SHAMWING;Syrian Arab Republic
Shandong Airlines;SC;CDG;SHANDONG;China
Shandong Airlines Rainbow Jet;;RBW;CAI HONG;China
Shanghai Airlines;FM;CSH;SHANGHAI AIR;China
Shanghai Airlines Cargo;;SHQ;SHANGHAI CARGO;China
Shans Air;;SNF;SHANS AIR;Russia
Shanxi Airlines;8C;CXI;SHANXI;China
Shar Ink;;UGP;SHARINK;Russia
Sharjah Ruler's Flight;;SHJ;SHARJAH;United Arab Emirates
Sharp Airlines;SH;SHA;SHARP;Australia
Shavano Air;;SHV;SHAVANO;United States
Shawbury Flying Training Unit;;SYS;SHAWBURY;United Kingdom
Shawnee Airline;;SHW;SHAWNEE;United States
Sheba Aviation;;SYE;;Yemen
Shell Aircraft;;SHE;SHELL;United Kingdom
Sheltam Aviation;;SHM;SHELTAM;South Africa
Shenzhen Airlines;ZH;CSZ;SHENZHEN AIR;China
Shenzhen Donghai Airlines;;EPA;DONGHAI AIR;China
Sheremetyevo-Cargo;;SHO;;Russia
Shooter Air Courier;;SHR;SHOOTER;Canada
Shoprite Group;;SHG;SHOP AIR;United Kingdom
Shorouk Air;;SHK;;Egypt
Shovkoviy Shlyah;S8;SWW;WAY AERO;Ukraine
Shuangyang General Aviation;;CSY;SHUANGYANG;China
Shura Air Transport Services;;SHS;SHURA AIR;Ethiopia
Shuswap Flight Centre;;SFC;SHUSWAP;Canada
Shuttle America;S5;TCF;MERCURY;United States
Siam GA;;SGN;SIAM;Thailand
Sibaviatrans;5M;SIB;SIBAVIA;Russia
Si-Chang Flying Service;;SCR;SICHART;Thailand
Sichuan Airlines;3U;CSC;SI CHUAN;China
Siem Reap Airways;FT;SRH;SIEMREAP AIR;Cambodia
Sierra Express;;SIE;SEREX;United States
Sierra Expressway Airlines;;SRX;SIERRA EX;United States
Sierra National Airlines;LJ;SLA;SELAIR;Sierra Leone
Sierra Nevada Airlines;1I;;;United States
Sierra Pacific Airlines;;SPA;SIERRA PACIFIC;United States
Silesia Air;;SUA;AIR SILESIA;Czech Republic
Silk Way Airlines;ZP;AZQ;SILK LINE;Azerbaijan
SilkAir;MI;SLK;SILKAIR;Singapore
Silvair;;IJS;;United States
Silver Air;;SVJ;;Djibouti
Silver Air;;SLD;SILVERLINE;Czech Republic
Silver Airways (3M);3M;\N;Silver Wings;United States
Silverback Cargo Freighters;;VRB;SILVERBACK;Rwanda
Silverhawk Aviation;;SLH;SILVERHAWK;United States
Silverjet;;FJE;ENVOY;United Kingdom
Simpson Air Ltd;;NCS;COMMUTER-CANADA;Canada
Simrik Airlines;;RMK;;Nepal
Sincom-Avia;;INK;SINCOM AVIA;Ukraine
Singapore Airlines;SQ;SIA;SINGAPORE;Singapore
Singapore Airlines Cargo;SQ;SQC;SINGCARGO;Singapore
Sioux Falls Aviation;;DKT;DAKOTA;United States
Sirair;;SRN;SIRAIR;Russia
Sirena;1Q;;;Russia
Siren-Travel;1H;;;Russia
Sirin;R1;;;
Sirio;;SIO;SIRIO;Italy
Sirio Executive;;SIW;SIRIO EXECUTIVE;Italy
Sirius-Aero;;CIG;SIRIUS AERO;Russia
Sirvair;;VRS;VAIRSA;Mexico
Sistemas Aeronauuticos 2000;;SUT;SISTEMAS AERONAUTICOS;Mexico
SITA;XS;SIT;;Belgium
Skagway Air Service;N5;SGY;SKAGWAY AIR;United States
Skif-Air;;USK;SKIF-AIR;Ukraine
Skorpion Air;;SPN;AIR SKORPIO;Bulgaria
Sky Aeronautical Services;;KYR;SKY AERONAUTICAL;Mexico
Sky Aircraft Service;;SGM;SIGMA;Netherlands
Sky Airline;H2;SKU;AEROSKY;Chile
Sky Airlines;;SHY;ANTALYA BIRD;Turkey
Sky Angkor Airlines (ZA);;SWM;SKY ANGKOR;Cambodia
Sky Aviation;;SSY;SIERRA SKY;Sierra Leone
Sky Bahamas;;SBM;SKY BAHAMAS;Bahamas
Sky Bus;;FLH;MILE HIGH;United States
Sky Cam;;SCK;SKYCAM;France
Sky Europe Airlines;;HSK;MATRA;Slovakia
Sky Exec Aviation Services;;SXC;SKY EXEC;Nigeria
Sky Express;G3;SEH;AIR CRETE;Greece
Sky Express;XW;SXR;SKYSTORM;Russia
Sky Express;;SXP;EXPRESS SKY;Poland
Sky Eyes;I6;SEQ;SKY EYES;Thailand
Sky Gate International Aviation;;SGD;AIR BISHKEK;Kyrgyzstan
Sky Harbor Air Service;;SHC;SKY HARBOR CHEYENNE;United States
Sky Harbor Air Service;;SKD;SKY DAWG;United States
Sky Helicopteros;;HSY;HELISKY;Spain
Sky Jet;;SWY;SWISSLINK;Switzerland
Sky King;;SGB;SONGBIRD;United States
Sky Limo Corporation;;LMO;SKY LIMO;United States
Sky Line for Air Services;;SLY;SKYCO;Sudan
Sky One Express Airlines;;SYF;SKY FIRST;United States
Sky Regional;RS;SKV;Sky Regional;Canada
Sky Regional Airlines;;SKV;Maple;Canada
Sky Service;;SKS;SKY SERVICE;Belgium
Sky Tours;;SKE;SKYISLE;United States
Sky Trek International Airlines;1I;;;
Sky Trek International Airlines;1I;PZR;PHAZER;United States
Sky Way Air;;SAB;SKY WORKER;Kyrgyzstan
Sky Wing Pacific;C7;CR7;;South Korea
Sky Wings Airlines;;GSW;;Greece
Sky Work Airlines;SX;SRK;SKYFOX;Switzerland
SkyBahamas Airlines;Q7;\N;TROPICAL SKY;Bahamas
Skybridge Airops;;KYB;SKY AIROPS;Italy
Skybus Airlines;SX;SKB;SKYBUS;United States
Skycharter (Malton);;SKL;SKYCHARTER;Canada
Skycraft;;SKF;SKYCRAFT;United States
Skycraft Air Transport;;SKG;SKYCRAFT-CANADA;Canada
Skydrift;;SDL;SKYDRIFT;United Kingdom
SkyEurope;NE;ESK;RELAX;Slovakia
Skyfreight;;SFT;SKYFREIGHT;United States
Skygate;;SGT;SKYGATE;Netherlands
Skyhaul;;HAU;SKYHAUL;Japan
Skyjet;;SEK;SKALA;Kazakhstan
Skyjet Airlines;UQ;SJU;SKYJET;Uganda
Skyking;;SKI;SKYKING;United Kingdom
SkyKing Turks and Caicos Airways;RU;SKI;SKYKING;Turks and Caicos Islands
Skyline;;SMT;SKYLIMIT;Nigeria
Skyline Aviation Services;;SKN;SKYLINER;United States
Skyline nepc;D5;\N;;India
Skyline Ulasim Ticaret A.S.;;KCU;Kocoglu;Turkey
Skylink Aviation;;SKK;SKYLINK;Canada
Skymark Airlines;BC;SKY;SKYMARK;Japan
Skymaster Air Lines;;SKC;SKYMASTER AIR;United States
Skymaster Air Taxi;;SDD;SKY DANCE;United States
Skynet Airlines;SI;SIH;BLUEJET;Ireland
Skynet Asia Airways;6J;SNJ;NEWSKY;Japan
Skyplan Services;;XXS;;Canada
Skypower Express Airways;;EAN;NIGERIA EXPRESS;Nigeria
Skyraidybos Mokymo Centras;;HRI;HELIRIM;Lithuania
Skyrover CC;;WLK;SKYWATCH;South Africa
Skyscapes Air Charters;;SKR;SKYSCAPES;South Africa
Skyservice Airlines;5G;SSV;SKYTOUR;Canada
Skystar Airways;;SKT;SKY YOU;Thailand
Skystar International;;SSK;SKYSTAR;United States
Skytaxi;;IGA;IGUANA;Poland
Skywalk Airlines;AL;SYX;SKYWAY-EX;United States
Skyward Aviation;;SGK;SKYWARD;Canada
Skyway Enterprises;;SKZ;SKYWAY-INC;United States
Skyways;;SYA;LINEAS CARDINAL;Argentina
Skyways Express;JZ;SKX;SKY EXPRESS;Sweden
SkyWest;OO;SKW;SKYWEST;United States
Skywest Airlines;;OZW;OZWEST;Australia
Skywest Australia;XR;\N;;Australia
SkyWork Airlines ;SX;\N;SKYFOX;Switzerland
Skyworld Airlines;;SPC;PORT;United States
Slate Falls Airways;;SYJ;;Canada
Slim Aviation Services;;SHX;SLIM AIR;Nigeria
Sloane Aviation;;SLN;SLOANE;United Kingdom
Slok Air;;SLB;SLOK AIR;Nigeria
Slok Air Gambia;S0;OKS;SLOK GAMBIA;Gambia
Slovak Air Force;;SQF;SLOVAK AIRFORCE;Slovakia
Slovak Airlines;6Q;SLL;SLOV LINE;Slovakia
Slovak Government Flying Service;;SSG;SLOVAK GOVERNMENT;Slovakia
Slovak National Aeroclub;;SQA;SLOVAK AEROCLUB;Slovakia
Slovenian Armed Forces;;SIV;SLOVENIAN;Slovenia
SMA Airlines;;SMA;SESAME;Nigeria
Smalandsflyg;;SMF;GORDON;Sweden
Small Planet Airlines;;ELC;;Lithuania
Smarkand Aero Servise;;USN;SAMAS;Uzbekistan
SmartLynx Airlines;6Y;\N;;Latvia
Smith Air (1976);;SML;SMITH AIR;Canada
Smithair;;SMH;SMITHAIR;United States
Smithkline Beacham Clinical Labs;;SBQ;SKIBBLE;United States
SNAS Aviation;;RSE;RED SEA;Saudi Arabia
SNCF;2C;;;France
Snowbird Airlines;S8;SBD;;Finland
Snunit Aviation;;SNU;;Israel
Sobel Airlines of Ghana;;SBL;SOBGHANA;Ghana
SOCHI AIR;CQ;KOL;SLOW FROG;Russia
SOCHI AIR CHATER;Q3;QER;russian doll;Russia
SOCHI AIR EXPRESS;Q4;SAE;ADLER EXPRESS;Russia
Societe Centrafricaine De Transport Aerien;;SNS;;Central African Republic
Societe De Transport Aerien De Mauritanie;;NSC;TRANS-SOCIETE;Mauritania
Societe Tout Tranport Mauritanien;;TTM;TOUT-AIR;Mauritania
Socofer;;SCF;SOCOFER;Angola
Soko Aviation;;OKT;SOKO AIR;Spain
Sokol;;PIV;AEROSOKOL;Russia
Sol Lineas Aereas;;OLS;FLIGHT SOL;Argentina
Solar Air;;SRB;Solar Air;Thailand
Solar Cargo;;OLC;SOLARCARGO;Venezuela
Solent Flight;;SFU;SAINTS;United Kingdom
Solid Air;;SOX;SOLIDAIR;Netherland
Solinair;;SOP;SOLINAIR;Slovenia
Soloflight;;OLO;SOLO;United Kingdom
Solomon Airlines;IE;SOL;SOLOMON;Solomon Islands
Somali Airlines;;SOM;SOMALAIR;Somali Republic
Somon Air;;SMR;SOMON AIR;Tajikistan
Sonair Servico Aereo;;SOR;SONAIR;Angola
Sonalysts;;SYI;;United States
Sonnig SA;;ONG;SONNIG;Switzerland
Sontair;;STI;SONTAIR;Canada
Soonair Lines;;SNL;SOONAIR;United States
SOS Flygambulans;;SAG;MEDICAL AIR;Sweden
SOS Helikoptern Gotland;;MCG;MEDICOPTER;Sweden
Sosoliso Airlines;SO;OSL;SOSOLISO;Nigeria
South African Air Force;;LMG;SOUTH AFRICAN;South Africa
South African Airways;SA;SAA;SPRINGBOK;South Africa
South African Express;;EXY;EXPRESSWAYS;South Africa
South African Historic Flight;;SYY;SKY COACH;South Africa
South African Non Scheduled Airways;;SCS;SOUTHERN CHARTERS;South Africa
South Airlines;;OTL;SOUTHLINE;Ukraine
South American Airlines;;SCN;SOUTH AMERICAN;Peru
South Asian Airlines;;BDS;SOUTH ASIAN;Bangladesh
South Carolina Aeronautics Commission;;PLT;PALMETTO;United States
South Central Air;;SCA;SOUTH CENTRAL;United States
South Coast Aviation;;GAD;SOUTHCOAST;United Kingdom
South East Asian Airlines;DG;SRQ;SEAIR;Philippines
South Pacific Island Airways;;SPI;SOUTH PACIFIC;United States
South West Africa Territory Force;??;***;;Namibia
South West Air;;SWC;SAINT CLAIR;Canada
South West Air Corporation;;STW;SIERRA WHISKEY;Philippines
South-Airlines;;STH;;Armenia
Southeast Air;;SEA;SOUTHEAST AIR;United States
Southeast Airlines (Sun Jet International);;SNK;SUN KING;United States
Southeast Airmotive;;SPU;SPUTTER;United States
Southeast Correct Craft;;SOT;SOUTH COURIER;United States
Southeast Express Airlines;;SXE;DOGWOOD EXPRESS;United States
Southeastern Airways;;PTM;POSTMAN;United States
Southern Air;;SOO;SOUTHERN AIR;United States
Southern Air Charter;;SOA;;Bahamas
Southern Airways;;SOU;SOUTHERN EXPRESS;United States
Southern Airways Express;;LTD;LIGHTSPEED;United States
Southern Aviation;;STV;SOUTHERN AVIATION;Ghana
Southern Aviation;;SOI;SOAVAIR;Zambia
Southern Cargo Air Lines;;SOC;;Russia
Southern Cross Aviation;;SXA;FERRY;United States
Southern Cross Distribution;1K;;;Australia
Southern Frontier Air Transport;;SFS;SOUTHERN FRONTIER;Canada
Southern Jersey Airways;;ALC; Inc.;ACOM
Southern Ohio Aviation Sales;;SOH;SOUTHERN OHIO;United States
Southern Right Air Charter;;SGC;SOUTHERNRIGHT;South Africa
Southern Seaplane;;SSC;SOUTHERN SKIES;United States
Southern Winds Airlines;A4;SWD;SOUTHERN WINDS;Argentina
Southflight Aviation;;SFL;SOUTHFLIGHT;New Zealand
Southjet;76;SJS;;United States
Southjet cargo;78;XAN;;United States
Southjet connect;77;ZCS;;United States
Southport Air Service;;XPG;;United States
Southwest Airlines;WN;SWA;SOUTHWEST;United States
Sowind Air;;SOW;SOWIND;Canada
Space World Airline;;SPF;SPACE WORLD;Nigeria
Spanair;JK;JKK;SPANAIR;Spain
Spanish Air Force;;AME;AIRMIL;Spain
Spantax S.A.;;BXS;;Spain
Spark Air;;THB;THAI SABAI;Thailand
Spark+ Joint-Stock Company;;BVV;SPARK;Russia
SPASA;;SPS;SALDUERO;Spain
Specavia Air Company;;BHV;AVIASPEC;Russia
Special Aviation Systems;;SYV;SPECIAL SYSTEM;United States
Special Scope Limited;;SSO;DOPE;United Kingdom
Specsavers Aviation;;SSZ;SPECSAVERS;United Kingdom
Spectrem Air;;CDS;SPECDAS;South Africa
Spectrum Air Service;;XSA;;United States
Spectrum Aviation Incorporated;;LSP;AIR TONY;United Kingdom
Speed Aviation;;SPT;SPEED AVIATION;Bangladesh
Speedwings;;SPW;SPEEDWING;Switzerland
Spicejet;SG;SEJ;SPICEJET;India
Spike Airlines;S0;SAL;Spike Air;United States
Spirit Airlines;NK;NKS;SPIRIT WINGS;United States
Spirit Aviation;;SJJ;SPIRIT JET;United States
Spirit of Africa Airlines;;SDN;BLUE NILE;Sudan
Spirit of Manila Airlines;SM;MNP;MANILA SKY;Philippines
Sport Air Travel;;WCC;WEST COAST;United States
Sprague Electric Company;;SPE;SPRAGUE;United States
Spring Airlines;9S;CQH;AIR SPRING;China
Spring Airlines Japan;IJ;SJO;;Japan
Springbank Aviation;;SAQ;SPRINGBANK;Canada
Springbok Classic Air;;SPB;SPRING CLASSIC;South Africa
Springdale Air Service;;SPG;SPRING AIR;United States
Sprintair;;SRN;;Poland
Spurling Aviation;;ASL;AIR SEATTLE;United States
